Date,Interbank Call Loan Rate,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate
2003-07-01,7.067189999999999,-5.153784351803559,-8.483999087514304,-11.070381546903029,-12.052759044047157,-19.858227786027538,-4.001415650139528
2003-08-01,6.842391304347826,-6.15763615744781,-8.707671062705591,-6.042297539099939,-6.988506775550507,-10.770989681181275,-1.5096067661332313
2003-09-01,6.8265625,-6.377753458576874,-8.972597901082423,-3.526646822752444,-13.740549117830646,-10.237723681773758,-2.116375162732753
2003-10-01,6.941761363636363,-6.747965618367802,-9.028731001724022,-10.138587499487805,-9.903889989745075,-16.338692584881265,-2.46616403758374
2003-11-01,6.8210227272727275,-7.12550668967642,-9.423733446685855,-12.112681626475208,-13.1668063008748,-17.206397377336835,-1.6871955361974833
2003-12-01,6.817565789473684,-7.550201173890203,-8.745763281653907,-12.97220701200773,-17.602927187036055,-4.591051689779368,-1.3130844893465055
2004-01-01,6.970394736842105,-7.894741523732607,-8.66935685064174,-12.298683887878248,-4.374101798935525,0.6628599524355128,-0.4305305313844321
2004-02-01,6.840625,-7.759305865181398,-9.391535938295736,-3.498583695179236,-13.768669100705555,-0.8692978546533836,2.2927781042534123
2004-03-01,6.875,-7.819903365709068,-9.311476886238479,-4.317751195684472,2.6174776209219486,5.732939220671041,3.421576414999028
2004-04-01,7.088315217391305,-7.795273587587626,-9.683662411357696,-4.525034435327213,6.47380885233837,5.927624094443029,2.5914611359974193
2004-05-01,7.205882352941177,-7.830853708875718,-10.254783421693936,-10.347166050110557,-5.5784475234364805,-5.915463373649343,2.7680795819613246
2004-06-01,7.151713157894737,-7.79423243049785,-9.720458847098934,-9.761063440783035,1.5850699511047894,-3.053450835876792,1.460283563303122
2004-07-01,7.230654761904762,-7.032451773432779,-9.78670426727003,-5.445917277737089,0.1153298831185312,-9.047612586422026,-0.09547644238083741
2004-08-01,7.154829545454546,-6.666666881697303,-10.23573735105342,-10.074605588628282,-11.323524632161753,-1.9624734573870484,-0.21102390299005958
2004-09-01,7.151928571428571,-6.71243559099538,-10.757946863359159,-14.949387902911893,-2.5662640576229356,-13.179778874834769,0.1015026274125086
2004-10-01,7.017647727272728,-6.534957170739597,-11.016435773625954,-8.912569421318917,-0.7353524910506892,-11.821231087114414,1.137596008143582
2004-11-01,7.0,-6.580938048634977,-10.606058845324473,-12.249990033336577,4.622557256842041,-2.3460090743810946,3.2284732277305883
2004-12-01,7.1185789473684205,-6.601646511068915,-10.551845945606797,-11.134369691434276,4.795312145741071,-4.975156092886735,4.79574595743153
2005-01-01,7.046877777777778,-6.20792644554522,-10.469310389069541,-13.352739948720826,-9.998594513254734,-18.466590870734134,5.9848451097576305
2005-02-01,7.023809523809524,-6.666211385337661,-10.107013110878349,-8.620700461022768,5.067044906562002,0.10200000545455001,5.781989828125256
2005-03-01,7.110197368421052,-7.107363047296788,-10.082546642725976,-7.336878266450142,-7.9273693185165754,-0.5281533947618322,6.289252866001349
2005-04-01,7.096875,-7.095954966714468,-8.828723847865705,-11.725096699440464,-15.817513420415608,-3.624330407447429,6.098241086636236
2005-05-01,7.3203125,-6.772038583207129,-8.66782735564846,-1.675855151314365,-12.123838444445845,-1.3827834775635317,4.246956333990304
2005-06-01,7.194068421052632,-6.522285018423101,-9.383996190223732,-4.579895356200348,-11.183117968360756,-11.013930297976993,3.8045669136200555
2005-07-01,7.228829545454545,-6.1922393415319466,-9.122010586808639,-2.9661880977565724,-13.806708361476405,-3.5018339464205184,6.886956654503273
2005-08-01,7.323115789473683,-5.771710074440561,-9.131903191794299,1.2991977408520317,-5.131193925177147,-6.922888858079867,8.93763402034946
2005-09-01,7.209635416666667,-5.620482005292315,-7.934720860239275,0.9319740176367164,-10.140762000045134,-5.312780468333389,11.41831958353694
2005-10-01,7.355113636363637,-5.260527246791169,-5.8452697065550225,2.115296632153907,-1.7371899907379529,11.06399181466886,11.406911854334956
2005-11-01,7.6984375,-5.017235187711744,-4.7344119624712295,4.659075821431946,-3.665831078531312,-1.2573013596823612,9.46393639269787
2005-12-01,7.922763157894737,-4.416368228195067,-4.682079969819942,0.33640306566380396,-1.2207040502489552,-3.5872717865388037,8.378818202033678
2006-01-01,7.763888888888889,-4.224279483640537,-4.592418389855002,2.2166985668831796,12.236650178091368,8.992183888973582,7.570008781589355
2006-02-01,7.734375,-3.6345857932609915,-2.9428725916960996,0.5373497812241945,-10.560181413968028,2.024362600714613,7.1007733351797775
2006-03-01,8.1234375,-2.8515240521083673,-1.9653171681579762,11.555351242997357,-0.8076442200732559,-0.902897731661001,5.568508182803122
2006-04-01,7.919836956521739,-2.55654278868811,-2.524385956050146,6.090643863227041,-2.9405242943097876,-2.3300896488974376,7.396689606461004
2006-05-01,7.923611111111111,-2.5515263888132966,-2.606230077362248,4.463011770644543,2.0206742889839147,9.381933732449355,11.34941183552851
2006-06-01,7.948863636363637,-2.5465150414430426,-2.0304512545927245,9.20290248930582,4.677229185297893,15.367798378900432,15.157049244135257
2006-07-01,8.050597619047618,-2.629010710420676,-1.4606738842702027,4.191727819864122,12.404861914937126,10.866779926517879,14.843825964979418
2006-08-01,8.0703125,-2.8073570432872064,-0.8384517373826506,-0.12464222069489272,6.799558090387436,0.3766168231431388,11.477386886513784
2006-09-01,8.110795454545455,-2.611214390297578,-0.7262575093052615,2.502769726345666,14.935618928347827,8.761325821213827,9.25563910589371
2006-10-01,8.151315789473685,-2.7992277821694,-3.270508273311312,3.540088132900654,3.8835959704810463,0.3496451967603731,12.671220383138792
2006-11-01,8.06547857142857,-2.793834119716865,-5.2516361123281285,3.408368330837175,1.6770893628827777,2.677982153042535,15.33123577208897
2006-12-01,7.311014285714285,-2.975052134229761,-6.688241433430175,6.535695669728359,17.074156932039198,2.4097124994446384,18.504016652204204
2007-01-01,7.647569444444445,-3.6190462324010353,-6.344091112761053,-2.5433446414588112,-2.3101781186466552,-0.842832538223881,19.483632713698572
2007-02-01,7.644886363636363,-4.413141314724578,-7.375737101636693,3.1023882495744948,12.813804112485716,-6.566608732620738,18.957564462234842
2007-03-01,7.5734375,-4.86435685772697,-7.880729120736419,-6.938014540128689,7.626132807618946,-2.277518922133659,17.610767889795078
2007-04-01,7.920454545454546,-5.571035782417722,-9.689124126478465,4.699453834469081,25.219589330232537,4.489377179423815,14.354219354270569
2007-05-01,7.994791666666667,-6.770348779100621,-10.269447126701303,-6.701481730137004,8.850539830483829,2.122286374595528,9.118910117310719
2007-06-01,7.691964285714286,-7.6853591541031445,-12.703103129898064,-7.977041311488497,6.438404854326962,-2.0091934327313155,4.244753057493655
2007-07-01,7.41875,-8.629893675606425,-16.15637632183683,-7.137781907317509,-4.558668199547733,-7.852771493763244,1.4877350264209666
2007-08-01,7.242052272727273,-9.226709462084248,-17.405356165502738,-9.306185373869159,-2.863031843478403,-13.050911148556022,2.666774340661471
2007-09-01,6.721726190476191,-9.5363129411842,-15.685349259357173,-6.147589245288376,-3.7423625314931375,1.4745118878442431,-1.2010077597108926
2007-10-01,6.5968775,-9.20245159228471,-13.102115725366659,-12.678424191329063,-2.7875241261587247,-4.484708856150988,-7.589639373786994
2007-11-01,6.397321428571429,-8.867424951310365,-8.370927797261018,-9.506709510155675,7.6500014999171695,3.709079603554155,-12.134640246761496
2007-12-01,6.434210526315789,-8.274642895741714,-4.235538114491344,0.16736035882407574,-0.876982465780296,28.11861312853201,-13.206045103716491
2008-01-01,6.314236111111111,-7.161801627398356,-1.7432621207389531,11.26104621326256,45.46442576512102,31.52856426112183,-13.279893174887903
2008-02-01,5.829545454545454,-6.57895185895897,0.6455069571815741,36.166950075616185,45.7830891563052,32.29130956873916,-14.528770367692868
2008-03-01,5.321875,-6.719022159019216,1.4586738662493381,30.161988315879505,39.94917943798144,25.216591309517145,-14.869929164295225
2008-04-01,5.189144736842105,-6.102870910233593,4.6637755194635755,17.708343437781735,23.40687074096217,33.817128360259005,-13.267141737506883
2008-05-01,5.15625,-5.285967384783985,5.695860425835075,26.19202233343614,34.04846430309749,38.0043983649879,-9.725997454026214
2008-06-01,5.139883333333334,-4.242425195127508,7.917106842518784,18.381126364133316,23.746642724038324,19.4398043401899,-7.566462990961298
2008-07-01,5.3671875,-3.019846776796542,9.602473467728379,19.026562214371488,22.913362319728094,19.870391371511253,-6.625138392462093
2008-08-01,5.675,-2.0654041337940687,12.577957919766792,21.00784904640902,24.967215204346395,36.32621825368159,-6.818367130478597
2008-09-01,5.8515625,-1.719691669468637,9.151666929918001,15.784523759354151,18.061718433911977,30.13088909329813,-3.0062126392782273
2008-10-01,5.484379545454545,-2.1440839207085505,6.845086202373829,14.93555219566829,18.89837955564517,29.658434771268173,2.5057047058002935
2008-11-01,5.534090909090909,-2.732703630921285,1.6301536340765255,11.456802964716406,9.12852724031239,23.23776847573238,4.579349519256559
2008-12-01,5.7140625,-3.483436762758685,-2.566682468245063,-2.209339245759634,-1.2725960374868173,-0.3713254048540171,3.6043617446978926
2009-01-01,5.793269230769231,-4.314725693636889,-5.3500001081348,-8.828673758305804,-16.674501886594406,-13.241217763290658,2.562701509529064
2009-02-01,5.4828125,-3.797462177532418,-7.69612860643959,-26.272833399708674,-27.97105843433092,-22.170057385431864,2.7486634018258904
2009-03-01,5.219791666666667,-3.7783402710540592,-8.093346476140251,-23.137841343378973,-27.662521496023174,-19.295501617476507,5.9366420380395635
2009-04-01,4.89732380952381,-3.855830093072632,-8.80316142128329,-19.088299537533814,-26.30754261576311,-23.91026450794569,8.044415353135182
2009-05-01,4.724264705882353,-3.833329040108835,-8.279935415265339,-19.568844333200087,-16.241889963827518,-27.797582021010193,4.2262435865619175
2009-06-01,4.572434210526316,-3.5893131456565253,-6.739343202093783,-16.14580436979376,-24.19234981258125,-21.751211170259488,3.461106402619496
2009-07-01,4.329166666666667,-3.577370000691793,-3.775457718897879,-15.198281673575153,-22.67729767998895,0.533515278833474,3.9415296267293787
2009-08-01,4.244485294117647,-3.568463805623734,-4.039899378069678,-13.127733818945275,-23.48734645876709,-10.650363580659528,6.591595421177399
2009-09-01,4.112980769230769,-3.8842950654932595,-3.5218216439663053,-14.05649126233277,-22.328925866432325,-13.432828761083492,8.63330349553555
2009-10-01,4.1333400000000005,-3.715939891774489,-3.4294250531636927,-7.11036093890386,-25.99707190500459,-13.263809342159194,7.8406734214435
2009-11-01,4.033653846153846,-3.223141087775827,-3.3481030329644446,-8.681472983670291,-15.4372907830303,-16.10795780285684,8.140788653649444
2009-12-01,4.4375,-3.524589218812335,-4.240968245587351,-7.913499344177555,-3.1849642155471147,-20.380618906414394,5.6110036607622815
2010-01-01,4.191673333333333,-3.5102031299759195,-4.852519633963926,-8.165811879455331,-16.59760224072181,-16.0926623866779,4.200401890437355
2010-02-01,4.156266666666666,-3.8929435030195525,-6.28198768740833,-10.355110299560232,-6.841732775218445,-15.321274464542556,5.968684143687741
2010-03-01,4.12918,-4.490782612793909,-7.9945168750074185,-9.821792188599709,-3.7214972126437873,-15.157770290049765,5.116458913663036
2010-04-01,4.130225,-4.559998101752316,-8.67208633333476,-8.655462162321825,0.8460393301581215,-13.817571826889285,3.206327451455393
2010-05-01,4.226570833333334,-4.458603492268464,-9.661625197658363,-4.941781212003626,-13.290635848716459,-14.517467621614522,5.718377932361363
2010-06-01,4.218754545454545,-4.845111872097252,-9.099100207466737,-4.255665790526675,8.84023411867556,3.9593125278406527,6.772715742868707
2010-07-01,4.078125,-4.980237260936027,-8.996386653887889,-2.1840865802698506,17.72419848079567,0.2052687785548013,8.20278528569216
2010-08-01,4.1830428571428575,-4.743086321940726,-8.90504208477897,-4.0522443041892675,9.352691251802403,1.4781368383516957,6.5099305261668405
2010-09-01,4.082409090909091,-4.498814413049557,-7.565341128444558,-1.5600909067988833,21.808100276103847,-6.426529516753199,2.993634520926891
2010-10-01,4.200673684210526,-4.495266373775331,-8.337135052135835,-1.8687351464684587,40.677075380784885,-7.170596179196531,-0.014959241819600955
2010-11-01,4.14376,-4.948939763400229,-7.5978164000622295,11.434064366298324,15.326203227113378,-2.314191456936787,0.5021794759528353
2010-12-01,4.25,-4.538341109483868,-6.90892744450875,4.1837149972763,23.940020366566017,-0.7382505794158112,0.7014629835701225
2011-01-01,4.25,-3.9968695827225953,-5.485615077276506,6.809417482105817,24.03279427402365,7.456207857343822,1.26790116178781
2011-02-01,4.239583333333333,-3.89339542649908,-3.4211261496655543,-4.08089369182113,-1.513308866555385,4.693360637316291,2.4433180484799477
2011-03-01,4.2384894736842105,-2.900631494955064,-1.6234708930820463,-9.223578373882324,-9.219990349577657,-0.08674782873864251,1.536810264916899
2011-04-01,4.290782608695652,-2.8638740238170035,-0.6989360000000056,-11.935644504863053,2.141629621942931,4.84186306875698,1.26553379216936
2011-05-01,4.473705263157894,-3.0835762646955645,0.837148131388421,-5.787766236279779,-5.973950393127914,16.778447283089882,0.6517228650347429
2011-06-01,4.707257894736842,-2.754454794302552,-0.4298249999999948,1.9632472521525335,-15.974994186446779,-8.604168671900304,1.3774323644591746
2011-07-01,4.674128571428572,-2.682236851904596,-1.0853818219726308,-8.158574486359871,-2.6431335909558373,-10.34704084523682,2.1556950127681107
2011-08-01,4.654790476190476,-2.973605862458051,-1.7731393034825849,-2.477894847265316,-3.7754598501546943,1.064735917166959,0.893548232690744
2011-09-01,4.708892105263158,-3.5899543510996446,-2.3742795122039695,-2.308076948860327,10.388182996714113,-1.3112266617687163,3.058008317901173
2011-10-01,4.712505,-3.5138594993266548,-1.7476108307667881,-7.546738650940698,-16.39467989248885,-1.5101082084377215,4.823065375509672
2011-11-01,4.680292307692308,-3.1333933672767045,-1.3178768504929494,-14.563793043253492,-1.3755661079690507,-0.34505855004903774,5.234084326416588
2011-12-01,4.617803846153846,-2.752927235226754,0.3753423770149089,-7.289662504496263,-1.7830814164623732,1.6422917502574075,6.442478362529402
2012-01-01,4.699519230769231,-2.808880869302355,-0.25042000000000675,-5.691480080833777,-8.651097720181244,-6.944170858962428,7.09471723724302
2012-02-01,4.664616666666666,-2.7613458393315082,-0.696514427860695,0.7582459280731424,-2.2862176627517883,16.292063970302117,4.889112121315864
2012-03-01,4.392377777777778,-2.854334427736749,-0.8937378617796754,6.356699860667248,24.198221953546394,11.342790045370954,5.267704803476514
2012-04-01,4.1875210526315785,-2.6574766140603723,-0.6951311031320073,15.526349299333187,-3.08148564903471,14.212312585765696,3.7857436898163677
