Date,Interbank Call Loan Rate,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,Real GDP_yoy_pct,CPI_yoy_pct,Wholesale Price_yoy_pct,Industrial Production_yoy_pct,Intl Trade Merch Exports_yoy_pct,Intl Trade Merch Imports_yoy_pct,FX Rate_yoy_pct
2011-04-01,4.290782608695652,2743.20874,81.928192,99.301064,78.250137,189478.484375,241545.921875,43.2401578947368,-5.695983955332496,-2.8638740238170035,-0.6989360000000056,-11.935644504863053,2.141629621942931,4.84186306875698,1.26553379216936
2011-05-01,4.473705263157894,2965.726074,82.321449,100.736313,74.720123,186000.90625,238632.140625,43.1307272727273,-5.855183051870238,-3.0835762646955645,0.837148131388421,-5.787766236279779,-5.973950393127914,16.778447283089882,0.6517228650347429
2011-06-01,4.707257894736842,2965.726074,82.518074,99.570175,78.338318,177730.375,211127.640625,43.3656666666667,-5.855183051870238,-2.754454794302552,-0.4298249999999948,1.9632472521525335,-15.974994186446779,-8.604168671900304,1.3774323644591746
2011-07-01,4.674128571428572,2965.726074,82.911331,99.211365,77.48278,179390.78125,195399.296875,42.8087619047619,-5.855183051870238,-2.682236851904596,-1.0853818219726308,-8.158574486359871,-2.6431335909558373,-10.34704084523682,2.1556950127681107
2011-08-01,4.654790476190476,2773.776367,82.911331,98.717995,79.206108,190608.90625,213743.53125,42.4209047619048,-6.8897052472032705,-2.973605862458051,-1.7731393034825849,-2.477894847265316,-3.7754598501546943,1.064735917166959,0.893548232690744
2011-09-01,4.708892105263158,2773.776367,83.042412,97.820969,78.53318,177033.703125,215342.21875,43.0256363636364,-6.8897052472032705,-3.5899543510996446,-2.3742795122039695,-2.308076948860327,10.388182996714113,-1.3112266617687163,3.058008317901173
2011-10-01,4.712505,2773.776367,83.107956,98.448891,77.473579,167927.203125,219033.609375,43.4514,-6.8897052472032705,-3.5138594993266548,-1.7476108307667881,-7.546738650940698,-16.39467989248885,-1.5101082084377215,4.823065375509672
2011-11-01,4.680292307692308,3132.649414,83.435669,98.583443,72.532616,180104.84375,217759.640625,43.2745263157895,-7.27335729192421,-3.1333933672767045,-1.3178768504929494,-14.563793043253492,-1.3755661079690507,-0.34505855004903774,5.234084326416588
2011-12-01,4.617803846153846,3132.649414,83.76338200000001,99.973839,78.248375,145750.515625,217541.3125,43.6485714285714,-7.27335729192421,-2.752927235226754,0.3753423770149089,-7.289662504496263,-1.7830814164623732,1.6422917502574075,6.442478362529402
2012-01-01,4.699519230769231,3132.649414,83.632301,99.74958,79.190254,148791.21875,202323.859375,43.6191428571429,-7.27335729192421,-2.808880869302355,-0.25042000000000675,-5.691480080833777,-8.651097720181244,-6.944170858962428,7.09471723724302
2012-02-01,4.664616666666666,2908.89917,84.087837,99.800003,76.853607,179627.078125,223868.4375,42.6607619047619,-7.057261949705218,-2.7613458393315082,-0.696514427860695,0.7582459280731424,-2.2862176627517883,16.292063970302117,4.889112121315864
2012-03-01,4.392377777777778,2908.89917,84.173119,99.800003,81.303673,188948.984375,213153.75,42.8573636363636,-7.057261949705218,-2.854334427736749,-0.8937378617796754,6.356699860667248,24.198221953546394,11.342790045370954,5.267704803476514
2012-04-01,4.1875210526315785,2908.89917,84.343689,100.0,88.855629,185505.640625,230390.71875,42.6997777777778,-7.057261949705218,-2.6574766140603723,-0.6951311031320073,15.526349299333187,-3.08148564903471,14.212312585765696,3.7857436898163677
2012-05-01,4.156272222222222,3150.174561,84.940659,99.900002,79.310425,197818.484375,204346.046875,42.8514545454546,-6.987489064021524,-2.161097609892715,-1.0891069306930734,7.241948736540826,6.634108591509635,-3.671746050405522,3.7626501102389964
2012-06-01,4.09766875,3150.174561,84.855377,100.0,76.829956,211520.8125,231003.578125,42.77645,-6.987489064021524,-2.259329685931033,-1.18576782171248,-1.857936477816391,-0.2901289427595266,5.986586567168128,-0.3041404164704109
2012-07-01,4.1187575,3150.174561,85.196503,100.300003,84.365829,184261.046875,217950.75,41.9054090909091,-6.987489064021524,-2.4414033235066523,-1.1822630541871937,8.007805521237188,-4.510189800531217,3.7162635922280307,-3.3454766075593723
2012-08-01,4.087178947368422,2979.022217,85.452347,100.5,81.21862,198087.625,211491.703125,42.0452105263158,-6.28716194947383,-2.339187087777972,-2.142158777278247,3.9439276844100313,-6.005721683811505,-11.25068272644717,-4.146300130300151
2012-09-01,3.8632999999999997,2979.022217,86.134605,100.199997,80.388611,160373.78125,218203.359375,41.74895,-6.28716194947383,-1.7509736946906718,-1.668307131142166,3.01538639997585,-26.296151694932114,-10.674252279051421,-4.751935971701293
2012-10-01,3.795967647058824,2979.022217,86.134605,100.199997,83.797562,200857.078125,222391.96875,41.4521363636364,-6.28716194947383,-2.226523460151497,-2.1484423408507425,3.4167851263478877,-9.209868925943642,-11.132463277974136,-4.007041697209135
2012-11-01,3.8035809523809525,3378.370361,86.134605,99.900002,84.896812,182616.859375,218513.640625,41.1221578947368,-5.079433127614497,-2.3210810773786394,-2.1547463693388114,2.3103126606077717,-15.783701171572417,4.570720395992023,-5.584811030897319
2012-12-01,3.613842857142857,3378.370361,86.134605,99.599998,84.400917,148396.546875,214026.375,41.0067222222222,-5.079433127614497,-2.791141133859665,-3.0184996013193577,5.373331033789297,-21.236332079981945,-12.149729311360813,-7.023254232078813
2013-01-01,3.623266666666667,3378.370361,86.049324,100.0,83.969353,162882.328125,217422.015625,40.7295,-5.079433127614497,-3.6294163678809777,-3.2882030311759625,3.1831440329331384,-25.66607127564303,-9.619745867647278,-9.342069281303456
2013-02-01,3.544283333333333,3129.775635,86.475731,100.5,76.275253,183829.828125,192505.34375,40.672250000000005,-5.3915664819952696,-3.612166367996017,-2.9922761195420144,-3.202310750834114,-6.169986030503205,-28.719486914892624,-9.405835839180288
2013-03-01,3.1651999999999996,3129.775635,86.646294,100.699997,76.444336,152135.015625,191439.203125,40.71273684210527,-5.3915664819952696,-3.513770114870862,-3.4515876284298974,-4.842958522534458,-27.052130617837367,-12.081155862750514,-9.106312696788532
2013-04-01,2.8602105263157895,3129.775635,86.646294,100.699997,76.913734,191403.71875,201721.4375,41.1422380952381,-5.3915664819952696,-3.422052935271458,-3.8204394599934854,-0.03184112678855655,-18.878946516943696,-17.898603646194633,-7.838747944502544
2013-05-01,2.66877,3386.828857,86.816856,101.0,73.954666,185511.453125,212135.109375,41.29757142857143,-6.486549926224605,-3.507109000525299,-3.625956957272225,-9.788267820672925,-8.866709441607412,-11.370158835437449,-5.97866859786903
2013-06-01,2.1666904761904764,3386.828857,86.816856,101.199997,78.284431,212136.28125,217955.484375,42.90694736842105,-6.486549926224605,-3.8715757465380918,-3.7107526871694163,-10.272318758136489,-18.531878018176094,-2.051063221425542,-2.0780570127893028
2013-07-01,2.241794736842105,3386.828857,87.328545,101.5,78.110863,192964.09375,210141.34375,43.355869565217404,-6.486549926224605,-3.668868611887832,-3.700191580641532,-9.187191208180224,-19.358443391036428,-0.6705252073252899,-0.2545734846230441
2013-08-01,2.0693217391304346,3178.883789,87.499115,102.699997,78.136955,210744.34375,238302.34375,43.86394117647058,-5.602574089731604,-4.022447829886655,-2.3764259232821106,-5.681793724562656,-10.6046194287861,-1.4477561672735173,0.22077064872261243
2013-09-01,2.0423176470588236,3178.883789,87.669678,101.900002,78.035538,217592.140625,244278.234375,43.8318095238095,-5.602574089731604,-4.01493628109908,-3.412320379146916,-4.2970388492598826,-9.161104488072136,-4.5336919501014155,-0.552087452381167
2013-10-01,2.0104333333333333,3178.883789,88.096085,102.400002,81.028976,221232.28125,250251.078125,43.18247619047619,-5.602574089731604,-3.727864279324866,-3.3050046590178517,-5.209001409892078,-14.260691143243587,-1.9533879011148891,-3.605947504550644
2013-11-01,2.0253190476190475,3559.155273,88.181366,102.099998,82.979721,216842.65625,208962.546875,43.55460000000001,-6.303531878045854,-3.544775231688302,-3.9510864359994513,-7.418052511769069,-5.978937766658577,-16.546160254350195,-3.107355944419954
2013-12-01,2.0328325,3559.155273,88.607773,102.699997,80.097038,188407.359375,243626.3125,44.104277777777774,-6.303531878045854,-2.8971991488447757,-3.568077934272307,-6.485186267907716,-19.000112047617822,-2.0968073508877527,-1.3056972796578026
2014-01-01,2.01565,3559.155273,89.290031,103.400002,81.378944,219122.453125,240563.625,44.92657142857143,-6.303531878045854,-1.874414525693846,-2.728128803533525,-3.1137141876531937,2.1425940004658584,-1.5467309683642072,0.722259640066536
2014-02-01,2.0267999999999997,3308.135986,89.716438,103.599998,78.79863,195917.9375,270067.28125,44.894999999999996,-4.987666758699527,-1.4981288951889327,-2.539985817309909,1.1603031749970016,0.8552883731760774,6.958649617117829,1.523316900855276
2014-03-01,2.0213947368421055,3308.135986,89.80172,104.300003,80.334923,208553.0625,217745.359375,44.7916,-4.987666758699527,-1.4967263809935516,-2.614374465254421,8.449576716853224,4.50129066656646,-7.967432350889836,0.7781911749365156
