Date,INTERBANK CALL LOAN RATE,Real GDP,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate,FX Rate_mom_pct,tone_mean,pos_mean,neg_mean,neu_mean,speech_count,tone_mean_filled,pos_mean_filled,neg_mean_filled,neu_mean_filled,tone_mean_jittered,pos_mean_jittered,neg_mean_jittered,neu_mean_jittered
2006-01-01,7.734375,4.724401633528341,6.618817785216091,11.693543783216189,15.410458381278836,11.109375969386658,22.649109203144647,-5.6468876314908485,-1.85521576214841,0.567716272,0.6340186636760207,0.048025642462274,0.3070532584814572,5,0.567716272,0.6340186636760207,0.048025642462274,0.3070532584814572,0.567716272,0.6340186636760207,0.048025642462274,0.3070532584814572
2006-02-01,8.1234375,4.501927238963188,7.142334501023817,11.24338333906385,9.433975205014187,-4.822677663646302,-0.1018960714560979,-5.465949201295828,-1.5210564826357742,0.670037825,0.7558189655172414,0.0469827586206896,0.1909482758620689,2,0.670037825,0.7558189655172414,0.0469827586206896,0.1909482758620689,0.670037825,0.7558189655172414,0.0469827586206896,0.1909482758620689
2006-03-01,7.919836957,4.501927238963188,7.651158671397762,11.213114102180398,7.917797424899109,8.609908568747816,0.5309576656979731,-5.917110805106695,-1.1538477029104377,0.4587022714285714,0.5145089932958234,0.0432311216292128,0.4367862018533706,7,0.4587022714285714,0.5145089932958234,0.0432311216292128,0.4367862018533706,0.4587022714285714,0.5145089932958234,0.0432311216292128,0.4367862018533706
2006-04-01,7.923611111,4.501927238963188,7.637939730366039,9.6836681688359,13.282480366496353,18.789553579487173,3.7606279912451024,-5.747730616624091,0.274916374395473,,,,,0,0.4587022714285714,0.5145089932958234,0.0432311216292128,0.4367862018533706,0.47698599438448286,0.49260513470729966,0.02421325480795553,0.46223297609644654
2006-05-01,7.948863636,5.919076820269731,7.263956521511261,9.49044252938236,1.704418740578317,13.796504341830309,1.4021724870412866,-4.073937967439301,1.4944600006391529,0.4873331266666666,0.5683249218937756,0.0507356671740233,0.3735320035247937,3,0.4873331266666666,0.5683249218937756,0.0507356671740233,0.3735320035247937,0.4873331266666666,0.5683249218937756,0.0507356671740233,0.3735320035247937
2006-06-01,8.050597619,5.919076820269731,6.9773689052075705,10.35578241777566,4.799717390058378,12.591207563869444,12.377139854426677,-3.665124788571184,1.97477037553786,0.3666201275,0.4158896940418679,0.0460896164021163,0.5300859069473199,8,0.3666201275,0.4158896940418679,0.0460896164021163,0.5300859069473199,0.3666201275,0.4158896940418679,0.0460896164021163,0.5300859069473199
2006-07-01,8.0703125,5.919076820269731,6.600988338349145,10.037645689248208,3.0568603248781523,16.018309660778264,3.628912433917297,-6.443215215458298,-1.4279801843607665,,,,,0,0.3666201275,0.4158896940418679,0.0460896164021163,0.5300859069473199,0.3330142422062902,0.406456471432619,0.03175113230633001,0.590709638697892
2006-08-01,8.110795455,4.702968714051847,6.125241240184054,10.04962523983406,-1.282535074143143,5.40872615296768,7.437799447303561,-8.204358485222773,-1.976860147654269,0.47122657,0.53125,0.03125,0.4375,1,0.47122657,0.53125,0.03125,0.4375,0.47122657,0.53125,0.03125,0.4375
2006-09-01,8.151315789,4.702968714051847,5.955192529810849,8.618581222345378,-0.9233684634701312,11.285163580009703,5.61087387992909,-10.248152751016804,-1.8701889556215543,,,,,0,0.47122657,0.53125,0.03125,0.4375,0.4856479656098971,0.5825039027131025,0.036997981576001496,0.5259692159731238
2006-10-01,8.065478571,4.702968714051847,5.5526245754972114,6.208152992778504,-2.071478712708208,1.7679018039217675,-9.961817177552213,-10.23896243461946,-0.7884751146975066,,,,,0,0.47122657,0.53125,0.03125,0.4375,0.4337258352845227,0.5015650729488668,0.018230959302147666,0.45008208926519105
2006-11-01,7.311014286,6.012351501971014,5.282258520929739,4.969697936054462,-4.451669179060202,3.805327974043848,1.2733107125846743,-8.645711733539652,-0.3207374676214014,0.5741775,0.6107994389901823,0.0144927536231884,0.3747078073866292,2,0.5741775,0.6107994389901823,0.0144927536231884,0.3747078073866292,0.5741775,0.6107994389901823,0.0144927536231884,0.3747078073866292
2006-12-01,7.647569444,6.012351501971014,4.620423127192574,4.912066868787601,-0.3352751896474215,1.2357893812787737,3.72074502299784,-7.731047764715759,-0.7552220668150089,0.3806600699999999,0.4159764872808351,0.0476608898348028,0.5312344177561569,5,0.3806600699999999,0.4159764872808351,0.0476608898348028,0.5312344177561569,0.3806600699999999,0.4159764872808351,0.0476608898348028,0.5312344177561569
2007-01-01,7.644886364,6.012351501971014,4.410595358474989,4.813473219162567,-2.168626650989647,-10.902544007394075,-8.25030159789586,-7.037285640609669,-1.117273774802996,0.6935496,0.746031746031746,0.0158730158730158,0.238095238095238,1,0.6935496,0.746031746031746,0.0158730158730158,0.238095238095238,0.6935496,0.746031746031746,0.0158730158730158,0.238095238095238
2007-02-01,7.5734375,6.164153381002713,3.771670389402848,3.0321035355970416,-0.5344777661172584,11.807024635017791,-1.984195293272473,-6.629992589276068,-1.0895954428662868,0.613378416,0.6641487573522787,0.02911247538515,0.3026150559223651,5,0.613378416,0.6641487573522787,0.02911247538515,0.3026150559223651,0.613378416,0.6641487573522787,0.02911247538515,0.3026150559223651
2007-03-01,7.920454545,6.164153381002713,2.9352226314264263,2.0047161998056007,-10.35840155962282,0.814220222640083,0.911124251863682,-5.274781541063978,0.2808463854921283,0.4584374533333333,0.5184326864907627,0.0396699086354258,0.4418974048738113,3,0.4584374533333333,0.5184326864907627,0.0396699086354258,0.4418974048738113,0.4584374533333333,0.5184326864907627,0.0396699086354258,0.4418974048738113
2007-04-01,7.994791667,6.164153381002713,2.623616671506324,2.5897615324710355,-5.74098114729058,3.029610733965038,2.385678087060028,-6.887260336948053,-1.432033253626286,0.420575705,0.4472148541114058,0.0153846153846153,0.5124668435013262,2,0.420575705,0.4472148541114058,0.0153846153846153,0.5124668435013262,0.420575705,0.4472148541114058,0.0153846153846153,0.5124668435013262
2007-05-01,7.691964286,6.842205770910503,2.618333868413103,2.675972066213728,-4.27233687311579,-1.980651767954556,-8.57722423832602,-10.192610493796272,-2.1084275365155225,0.5364527,0.5555555555555556,0.037037037037037,0.4074074074074074,1,0.5364527,0.5555555555555556,0.037037037037037,0.4074074074074074,0.5364527,0.5555555555555556,0.037037037037037,0.4074074074074074
2007-06-01,7.41875,6.842205770910503,2.6130569291862304,2.072533027450429,-8.427342386991088,-4.468239388547768,-13.32070005221756,-13.162068100583236,-1.3969984650548994,0.4693067219999999,0.5126546855161013,0.0301582432190607,0.457187071264838,5,0.4693067219999999,0.5126546855161013,0.0301582432190607,0.457187071264838,0.4693067219999999,0.5126546855161013,0.0301582432190607,0.457187071264838
2007-07-01,7.242052273,6.842205770910503,2.699993837591652,1.482325830556941,-4.023090803438024,-11.035876654805698,-9.80165558494649,-12.925227664834072,-1.1591363782593844,0.4351179157142857,0.4622675448375527,0.0273593308846273,0.5001310931152221,14,0.4351179157142857,0.4622675448375527,0.0273593308846273,0.5001310931152221,0.4351179157142857,0.4622675448375527,0.0273593308846273,0.5001310931152221
2007-08-01,6.72172619,6.546757446526019,2.8884460365354414,0.8455411921989286,0.124797771408569,-6.36665376895359,-0.3752037427269594,-10.295708580071029,0.983282153929932,0.4169464533333333,0.451207729468599,0.0294685990338163,0.5157004830917874,3,0.4169464533333333,0.451207729468599,0.0294685990338163,0.5157004830917874,0.4169464533333333,0.451207729468599,0.0294685990338163,0.5157004830917874
2007-09-01,6.5968775,6.546757446526019,2.681226974902784,0.7315705956923546,-2.4416605844187256,-12.994769652442429,-8.055552610324046,-8.471543603276043,0.1253116124471098,0.49883264,0.5535714285714286,0.0892857142857142,0.3571428571428571,1,0.49883264,0.5535714285714286,0.0892857142857142,0.3571428571428571,0.49883264,0.5535714285714286,0.0892857142857142,0.3571428571428571
2007-10-01,6.397321429,6.546757446526019,2.879841094159441,3.381087003488248,-3.419050723963757,-3.738411184365032,-0.348426938704971,-11.246190766417785,-3.796031309907455,0.22700909,0.4285714285714285,0.2095238095238095,0.3523809523809524,1,0.22700909,0.4285714285714285,0.2095238095238095,0.3523809523809524,0.22700909,0.4285714285714285,0.2095238095238095,0.3523809523809524
2007-11-01,6.434210526,6.502260762786927,2.874132617428482,5.542719575141319,-3.2960275709338127,-1.6494269981483178,-2.6081367172282266,-13.293220756244818,-2.619753605966646,,,,,0,0.22700909,0.4285714285714285,0.2095238095238095,0.3523809523809524,0.26136421510246277,0.46176874823373426,0.2040865620775007,0.3223370972999358
2007-12-01,6.314236111,6.502260762786927,3.0662754267547943,7.167629820906973,-6.134747258787043,-14.5840528597192,-2.3530116828105574,-15.6146746540342,-3.412363510398586,,,,,0,0.22700909,0.4285714285714285,0.2095238095238095,0.3523809523809524,0.22505654821677717,0.3708744187256061,0.22820420415530335,0.2876488433417885
2008-01-01,5.829545455,6.502260762786927,3.754939218725273,6.773828996096021,2.6097187843168834,2.3648094286141896,0.8499965860246927,-16.30652857733611,-1.927988218401,0.427993152,0.5178021732528715,0.0823305387031215,0.3835234274500693,5,0.427993152,0.5178021732528715,0.0823305387031215,0.3835234274500693,0.427993152,0.5178021732528715,0.0823305387031215,0.3835234274500693
2008-02-01,5.321875,4.16965938296876,4.61689124993121,7.963072386044345,-3.009036262152054,-11.358365417506157,7.0281177248817,-15.93640938088746,-0.652182119786171,0.2831793175,0.4932616047564501,0.2195846288114329,0.279576446844488,4,0.2831793175,0.4932616047564501,0.2195846288114329,0.279576446844488,0.2831793175,0.4932616047564501,0.2195846288114329,0.279576446844488
2008-03-01,5.189144737,4.16965938296876,5.113075075818263,8.55491912334534,7.455261679453851,-7.085763102954379,2.330598749656088,-14.9737717096592,1.42919277091742,0.570390135,0.5892857142857143,0.0,0.4107142857142857,2,0.570390135,0.5892857142857143,0.0,0.4107142857142857,0.570390135,0.5892857142857143,0.0,0.4107142857142857
2008-04-01,5.15625,4.16965938296876,5.899710781091483,10.728634876764875,-4.488518003063291,-20.140290720585853,-4.2964914717741,-12.55241777288606,1.374958648990776,,,,,0,0.570390135,0.5892857142857143,0.0,0.4107142857142857,0.5631603923305706,0.5778042169065345,0.0,0.4188424055060995
