speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
72,2018-07-27,Of Commitments and Navigation,-0.5263393310680952,-0.5192856788635254,0.0,1.0,0.0,91.0,negative
73,2018-07-26,Going Back to Basics,-0.519318196267645,-0.5146977305412292,0.0,1.0,0.0,47.0,negative
74,2018-07-25,Opening Statement,-0.5227059819297908,-0.5122820734977722,0.0,1.0,0.0,52.0,negative
75,2018-07-20,Opening Remarks for the Q2 2018 BSP Inflation Report Press Briefing,-0.5315545987322986,-0.5173801779747009,0.0,1.0,0.0,46.0,negative
76,2018-07-17,Good Governance in the Pursuit of Mandates,-0.5176581052598465,-0.517065703868866,0.0,1.0,0.0,122.0,negative
77,2018-07-13,Changes Less Intuitive and the Digital Challenge,-0.5195059231668447,-0.5095599889755249,0.0,1.0,0.0,97.0,negative
78,2018-07-10,"Mutualism and the ""Win-Win"" Dynamic",-0.5259827859375787,-0.5219392776489258,0.0,1.0,0.0,51.0,negative
79,2018-07-03,Navigating the Future,-0.5194324387777964,-0.5112399458885193,0.0,1.0,0.0,99.0,negative
80,2018-06-30,Providing an Enabling Environment at the Crossroads of Digital Transformation,-0.5074638295130918,-0.4993385076522827,0.0,1.0,0.0,108.0,negative
81,2018-05-28,Forging Partnerships in Financial Education,-0.4958531250429098,-0.4952870309352875,0.0,1.0,0.0,38.0,negative
82,2018-05-21,Revisiting the Role of Rural Banks in Countryside Development and Financial Inclusion,-0.5017774827001638,-0.5001521110534668,0.0,1.0,0.0,87.0,negative
83,2018-05-09,Message,-0.5154838441487621,-0.49915966391563416,0.0,1.0,0.0,22.0,negative
84,2018-05-09,ACT - The Cyber-Security Game Plan,-0.49924343472710175,-0.4963185787200928,0.0,1.0,0.0,55.0,negative
85,2018-05-04,Ancient to Modern Networks,-0.5221905582632337,-0.518278956413269,0.0,1.0,0.0,37.0,negative
86,2018-05-03,"ASEAN+3: Emergence, Sustainability and Success",-0.5200388827257686,-0.5114485025405884,0.0,1.0,0.0,33.0,negative
87,2018-04-24,Investing in Sound Policies Towards Sustainable Growth,-0.5253517002916859,-0.5174927711486816,0.0,1.0,0.0,132.0,negative
88,2018-04-23,In Real Time,-0.5101586454736553,-0.5106201767921448,0.0,1.0,0.0,41.0,negative
89,2018-04-18,Thrive Not Just Survive,-0.520157530464012,-0.5111615061759949,0.0,1.0,0.0,85.0,negative
90,2018-04-10,Navigating the Digital Frontier,-0.5168726700350895,-0.5130504369735718,0.0,1.0,0.0,100.0,negative
91,2018-03-22,Mindfulness and Vigilance,-0.5249697492671466,-0.517901599407196,0.0,1.0,0.0,128.0,negative
