window_scheme,horizon_h,model,tone_spec,n,rmse,mae,naive_rmse,naive_mae,pct_improve_vs_naive_rmse,rmse_ratio_vs_naive
rolling,2,Lasso,NEG,48,0.7092347398679152,0.5771215212349962,0.25687109030369215,0.17087008989231656,-176.10531766319247,2.7610531766319246
rolling,2,Lasso,None,48,0.7109102879078135,0.5792976698314396,0.25687109030369215,0.17087008989231656,-176.75760906660315,2.7675760906660316
rolling,2,Lasso,POSNEG,48,0.7127616162450522,0.5739347136436203,0.25687109030369215,0.17087008989231656,-177.47833179762358,2.774783317976236
rolling,2,Lasso,ToneMean,48,0.6969632644490419,0.567463756301395,0.25687109030369215,0.17087008989231656,-171.3280282436766,2.713280282436766
rolling,2,OLS,NEG,48,0.6903960821839261,0.5606886837921484,0.25687109030369215,0.17087008989231656,-168.77142202639013,2.687714220263901
rolling,2,OLS,None,48,0.6927819113522916,0.5640722115414523,0.25687109030369215,0.17087008989231656,-169.7002261068901,2.697002261068901
rolling,2,OLS,POSNEG,48,0.6929115222289266,0.5553883222600603,0.25687109030369215,0.17087008989231656,-169.75068366382334,2.6975068366382335
rolling,2,OLS,ToneMean,48,0.6757202887069571,0.5495212689639716,0.25687109030369215,0.17087008989231656,-163.058130795517,2.63058130795517
rolling,2,Ridge,NEG,48,0.695646673340132,0.5639779893935367,0.25687109030369215,0.17087008989231656,-170.8154788916443,2.708154788916443
rolling,2,Ridge,None,48,0.6983612096065758,0.567811078431438,0.25687109030369215,0.17087008989231656,-171.87224875361454,2.7187224875361453
rolling,2,Ridge,POSNEG,48,0.6973076419189633,0.5581000878738791,0.25687109030369215,0.17087008989231656,-171.46209450606304,2.7146209450606302
rolling,2,Ridge,ToneMean,48,0.6806562106392313,0.552598414727068,0.25687109030369215,0.17087008989231656,-164.97968682832652,2.6497968682832655
rolling,2,SVR,NEG,48,0.7086641157227264,0.48860256174812067,0.25687109030369215,0.17087008989231656,-175.88317349565915,2.758831734956592
rolling,2,SVR,None,48,0.6720358134411902,0.45804802995590616,0.25687109030369215,0.17087008989231656,-161.62376336187128,2.616237633618713
rolling,2,SVR,POSNEG,48,0.7682480586456432,0.5134945861980583,0.25687109030369215,0.17087008989231656,-199.07922208659724,2.990792220865972
rolling,2,SVR,ToneMean,48,0.7162450612930443,0.4814425555005632,0.25687109030369215,0.17087008989231656,-178.8344381013239,2.788344381013239
rolling,3,ElasticNet,NEG,48,0.7067115463027557,0.5802529430418466,0.37262160625105367,0.2541171247972873,-89.65930435783936,1.8965930435783938
rolling,3,ElasticNet,None,48,0.707722142484737,0.5824996167454745,0.37262160625105367,0.2541171247972873,-89.93051680634682,1.8993051680634683
rolling,3,ElasticNet,POSNEG,48,0.7113121098860603,0.5750315957443947,0.37262160625105367,0.2541171247972873,-90.89395192151419,1.908939519215142
rolling,3,ElasticNet,ToneMean,48,0.6941284241225685,0.569680083341132,0.37262160625105367,0.2541171247972873,-86.28238740801834,1.8628238740801835
rolling,3,Lasso,NEG,48,0.7149767131059203,0.5861229787206509,0.37262160625105367,0.2541171247972873,-91.87741695907053,1.9187741695907052
rolling,3,Lasso,None,48,0.7161983295159486,0.5881214211737592,0.37262160625105367,0.2541171247972873,-92.20526064540935,1.9220526064540935
rolling,3,Lasso,POSNEG,48,0.7211371924960227,0.5832598513393256,0.37262160625105367,0.2541171247972873,-93.53069720013949,1.935306972001395
rolling,3,Lasso,ToneMean,48,0.7043093849418715,0.5772060909399689,0.37262160625105367,0.2541171247972873,-89.01463928190553,1.8901463928190554
rolling,3,OLS,NEG,48,0.6938765862531476,0.5706821117659491,0.37262160625105367,0.2541171247972873,-86.21480199021217,1.8621480199021216
rolling,3,OLS,None,48,0.6955083049717466,0.5735400864565703,0.37262160625105367,0.2541171247972873,-86.65270432631547,1.8665270432631547
rolling,3,OLS,POSNEG,48,0.6983843047342493,0.564310812727442,0.37262160625105367,0.2541171247972873,-87.42453282854272,1.8742453282854272
rolling,3,OLS,ToneMean,48,0.6803135214773928,0.559175585850726,0.37262160625105367,0.2541171247972873,-82.57489905698914,1.8257489905698914
rolling,3,Ridge,NEG,48,0.70014481075304,0.5746623390592092,0.37262160625105367,0.2541171247972873,-87.89699765324872,1.8789699765324872
rolling,3,Ridge,None,48,0.7020869821685066,0.5779592650419922,0.37262160625105367,0.2541171247972873,-88.41821579596643,1.8841821579596643
rolling,3,Ridge,POSNEG,48,0.7036350002571902,0.5675666426607814,0.37262160625105367,0.2541171247972873,-88.83365549745291,1.8883365549745292
rolling,3,Ridge,ToneMean,48,0.6860285295257827,0.5627508863702874,0.37262160625105367,0.2541171247972873,-84.10862870457686,1.8410862870457685
rolling,3,SVR,NEG,48,0.7077258837541979,0.4906380694466093,0.37262160625105367,0.2541171247972873,-89.93152084620874,1.8993152084620875
rolling,3,SVR,None,48,0.67561467336991,0.4640330140297882,0.37262160625105367,0.2541171247972873,-81.31387499701637,1.8131387499701637
rolling,3,SVR,POSNEG,48,0.7644192202222581,0.5122854909635023,0.37262160625105367,0.2541171247972873,-105.14624149497946,2.0514624149497944
rolling,3,SVR,ToneMean,48,0.715042696146067,0.4890009408556664,0.37262160625105367,0.2541171247972873,-91.89512474601572,1.9189512474601573
rolling,4,ElasticNet,NEG,47,0.7010561418016281,0.5749335430101896,0.485940954651804,0.3363799508214157,-44.26776238770876,1.4426776238770875
rolling,4,ElasticNet,None,47,0.7006976838821517,0.5759269939844239,0.485940954651804,0.3363799508214157,-44.19399665217135,1.4419399665217134
rolling,4,ElasticNet,POSNEG,47,0.6990195358108022,0.5646315098848533,0.485940954651804,0.3363799508214157,-43.848656738898974,1.4384865673889897
rolling,4,ElasticNet,ToneMean,47,0.6827674966108662,0.5578681101504754,0.485940954651804,0.3363799508214157,-40.50420942603948,1.4050420942603947
rolling,4,Lasso,NEG,47,0.7106483601554648,0.582007634754139,0.485940954651804,0.3363799508214157,-46.24170968768678,1.4624170968768677
rolling,4,Lasso,None,47,0.7103239720819382,0.5828080641098471,0.485940954651804,0.3363799508214157,-46.1749550603146,1.461749550603146
rolling,4,Lasso,POSNEG,47,0.7086879700014569,0.5729884191396004,0.485940954651804,0.3363799508214157,-45.83828821533678,1.4583828821533678
rolling,4,Lasso,ToneMean,47,0.6930452703344239,0.5656114291109028,0.485940954651804,0.3363799508214157,-42.619234641586935,1.4261923464158692
rolling,4,OLS,NEG,47,0.6877786843734388,0.5652339214350262,0.485940954651804,0.3363799508214157,-41.53544330632918,1.415354433063292
rolling,4,OLS,None,47,0.68727539213839,0.5658847615598029,0.485940954651804,0.3363799508214157,-41.43187265021737,1.4143187265021737
rolling,4,OLS,POSNEG,47,0.6863644310342724,0.5541988736377838,0.485940954651804,0.3363799508214157,-41.24440931842836,1.4124440931842837
rolling,4,OLS,ToneMean,47,0.6689412645565649,0.5472684014826005,0.485940954651804,0.3363799508214157,-37.65896003474083,1.3765896003474083
rolling,4,Ridge,NEG,47,0.6955345663940236,0.5698503995223937,0.485940954651804,0.3363799508214157,-43.131497713009544,1.4313149771300955
rolling,4,Ridge,None,47,0.6951871631686506,0.5713998246941754,0.485940954651804,0.3363799508214157,-43.060006882272326,1.4306000688227232
