window_scheme,horizon_h,model,tone_spec,rmse,naive_rmse,pct_dRMSE_vs_naive
expanding,4,Ridge,NEG,0.8763943212854306,0.485940954651804,-80.34996081229704
expanding,4,Ridge,None,0.8757623188098319,0.485940954651804,-80.21990334964676
expanding,4,Ridge,POSNEG,0.9921272424023839,0.485940954651804,-104.16621256244652
expanding,4,Ridge,ToneMean,0.9107259377984013,0.485940954651804,-87.41493777798017
expanding,4,SVR,NEG,0.6449610507369097,0.485940954651804,-32.72416011921653
expanding,4,SVR,None,0.571578922467833,0.485940954651804,-17.62312210902085
expanding,4,SVR,POSNEG,0.6874584504483399,0.485940954651804,-41.46954354586787
expanding,4,SVR,ToneMean,0.6385842460663022,0.485940954651804,-31.41190096312692
expanding,5,ElasticNet,NEG,0.8241424731394207,0.5931232427330431,-38.94961683542662
expanding,5,ElasticNet,None,0.8236221745927556,0.5931232427330431,-38.86189500812684
expanding,5,ElasticNet,POSNEG,0.953868982023997,0.5931232427330431,-60.821379656052486
expanding,5,ElasticNet,ToneMean,0.8624783178573606,0.5931232427330431,-45.413002849654085
expanding,5,Lasso,NEG,0.8245048907561205,0.5931232427330431,-39.01072009198252
expanding,5,Lasso,None,0.8237566220766507,0.5931232427330431,-38.88456272272787
expanding,5,Lasso,POSNEG,0.9511544196911639,0.5931232427330431,-60.36370709540141
expanding,5,Lasso,ToneMean,0.8611796670147454,0.5931232427330431,-45.1940515847144
expanding,5,OLS,NEG,0.8264473884478076,0.5931232427330431,-39.33822330745866
expanding,5,OLS,None,0.8261786477890061,0.5931232427330431,-39.292913894601526
expanding,5,OLS,POSNEG,0.9557170545700783,0.5931232427330431,-61.132962884112416
expanding,5,OLS,ToneMean,0.8642577963210196,0.5931232427330431,-45.71302118234652
expanding,5,Ridge,NEG,0.825061372344334,0.5931232427330431,-39.104542344782665
expanding,5,Ridge,None,0.8248123473035109,0.5931232427330431,-39.0625569658797
expanding,5,Ridge,POSNEG,0.9556583088850265,0.5931232427330431,-61.123058418932274
expanding,5,Ridge,ToneMean,0.8639498384397144,0.5931232427330431,-45.661099784040466
expanding,5,SVR,NEG,0.6215253324964386,0.5931232427330431,-4.788564621497886
expanding,5,SVR,None,0.5519264270630483,0.5931232427330431,6.945742925224888
expanding,5,SVR,POSNEG,0.6791663828427655,0.5931232427330431,-14.506789468112169
expanding,5,SVR,ToneMean,0.6180870830989069,0.5931232427330431,-4.208879127857707
expanding,6,ElasticNet,NEG,0.7744824000058314,0.6942245508375836,-11.560790967622285
expanding,6,ElasticNet,None,0.7738565725446882,0.6942245508375836,-11.470643268237685
expanding,6,ElasticNet,POSNEG,0.9146730618602668,0.6942245508375836,-31.754640592400758
expanding,6,ElasticNet,ToneMean,0.8104173601229848,0.6942245508375836,-16.73706427483936
expanding,6,Lasso,NEG,0.7746153437093551,0.6942245508375836,-11.579940924702223
expanding,6,Lasso,None,0.7740658120457085,0.6942245508375836,-11.500783300129068
expanding,6,Lasso,POSNEG,0.9111126560985785,0.6942245508375836,-31.24177976698157
expanding,6,Lasso,ToneMean,0.8096633052569464,0.6942245508375836,-16.628445980495165
expanding,6,OLS,NEG,0.7757583053838552,0.6942245508375836,-11.74457953811931
expanding,6,OLS,None,0.7749433612848622,0.6942245508375836,-11.627190416975477
expanding,6,OLS,POSNEG,0.9176487240318928,0.6942245508375836,-32.183271669771315
expanding,6,OLS,ToneMean,0.8111636741375382,0.6942245508375836,-16.84456753349723
expanding,6,Ridge,NEG,0.7745600515217089,0.6942245508375836,-11.571976327717067
expanding,6,Ridge,None,0.7737953804666539,0.6942245508375836,-11.461828817933311
expanding,6,Ridge,POSNEG,0.9175960855588613,0.6942245508375836,-32.1756893287308
expanding,6,Ridge,ToneMean,0.8110061896974864,0.6942245508375836,-16.821882591015463
expanding,6,SVR,NEG,0.6233056394954114,0.6942245508375836,10.215557956947556
expanding,6,SVR,None,0.5528137961198603,0.6942245508375836,20.369598647456495
expanding,6,SVR,POSNEG,0.6799077499512416,0.6942245508375836,2.062272339557678
expanding,6,SVR,ToneMean,0.6157417644183906,0.6942245508375836,11.305100968339907
rolling,1,ElasticNet,NEG,0.7081037928397169,0.14175720402979905,-399.5187353517956
rolling,1,ElasticNet,None,0.7102669546041376,0.14175720402979905,-401.0446978446549
rolling,1,ElasticNet,POSNEG,0.7081118105161673,0.14175720402979905,-399.52439127348606
rolling,1,ElasticNet,ToneMean,0.6937651105434763,0.14175720402979905,-389.40377689562683
rolling,1,Lasso,NEG,0.7147966931461495,0.14175720402979905,-404.24011819243464
rolling,1,Lasso,None,0.716962553059112,0.14175720402979905,-405.7679840443227
rolling,1,Lasso,POSNEG,0.7151392368655551,0.14175720402979905,-404.4817593292996
rolling,1,Lasso,ToneMean,0.7013892172510849,0.14175720402979905,-394.78206208387445
rolling,1,OLS,NEG,0.6991292159498969,0.14175720402979905,-393.18778592933563
rolling,1,OLS,None,0.7016725121259377,0.14175720402979905,-394.98190721823056
rolling,1,OLS,POSNEG,0.7007053833946184,0.14175720402979905,-394.2996641266442
rolling,1,OLS,ToneMean,0.6845191316030095,0.14175720402979905,-382.881371911875
rolling,1,Ridge,NEG,0.7028695645517914,0.14175720402979905,-395.82634573128274
rolling,1,Ridge,None,0.7058460412822866,0.14175720402979905,-397.9260462374168
rolling,1,Ridge,POSNEG,0.7036720817175769,0.14175720402979905,-396.39246663588017
rolling,1,Ridge,ToneMean,0.688082624337098,0.14175720402979905,-385.3951720100622
rolling,1,SVR,NEG,0.7059022675530143,0.14175720402979905,-397.96571002107606
rolling,1,SVR,None,0.685284148455213,0.14175720402979905,-383.42103891323796
rolling,1,SVR,POSNEG,0.7685450419980361,0.14175720402979905,-442.15589765475255
rolling,1,SVR,ToneMean,0.7152704161598726,0.14175720402979905,-404.57429733836614
rolling,2,ElasticNet,NEG,0.701809150863777,0.25687109030369215,-173.21453341987453
rolling,2,ElasticNet,None,0.7034888324273659,0.25687109030369215,-173.86843400541844
rolling,2,ElasticNet,POSNEG,0.7040918196614885,0.25687109030369215,-174.1031771341254
rolling,2,ElasticNet,ToneMean,0.687818102556643,0.25687109030369215,-167.76781370899045
rolling,2,Lasso,NEG,0.7092347398679152,0.25687109030369215,-176.10531766319247
rolling,2,Lasso,None,0.7109102879078135,0.25687109030369215,-176.75760906660315
rolling,2,Lasso,POSNEG,0.7127616162450522,0.25687109030369215,-177.47833179762358
rolling,2,Lasso,ToneMean,0.6969632644490419,0.25687109030369215,-171.3280282436766
rolling,2,OLS,NEG,0.6903960821839261,0.25687109030369215,-168.77142202639013
rolling,2,OLS,None,0.6927819113522916,0.25687109030369215,-169.7002261068901
rolling,2,OLS,POSNEG,0.6929115222289266,0.25687109030369215,-169.75068366382334
