window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none,CW_p_one_sided,MSFE_gain,CW_sig_5pct
rolling,1,ElasticNet,ToneMean,48,0.7102669546041376,0.6937651105434763,0.5725426291616355,0.5620284541436079,2.3233298344646247,0.09336861362631566,0.023169118195234095,False
rolling,1,Lasso,ToneMean,48,0.716962553059112,0.7013892172510849,0.5764802911509336,0.5669074902986506,2.172126806564627,0.10302784237233364,0.02208846841295037,False
rolling,1,OLS,ToneMean,48,0.7016725121259377,0.6845191316030095,0.5691863552701598,0.5573793896666065,2.444641941431721,0.08501726601128179,0.023777872742586026,False
rolling,1,Ridge,ToneMean,48,0.7058460412822866,0.688082624337098,0.5704677616766846,0.5580388171834035,2.5166135256519078,0.082071711812433,0.024760936079247453,False
rolling,1,SVR,NEG,48,0.685284148455213,0.7059022675530143,0.46768707920771657,0.4927696015576391,-3.0086963406755087,0.7237777519058538,-0.02868364721250094,False
rolling,2,ElasticNet,ToneMean,48,0.7034888324273659,0.687818102556643,0.5731018166055364,0.5595001117718471,2.2275733669647,0.13533966770607764,0.02180279514539779,False
rolling,2,Lasso,ToneMean,48,0.7109102879078135,0.6969632644490419,0.5792976698314396,0.567463756301395,1.9618542164887336,0.1549106094119851,0.019635645461705264,False
rolling,2,OLS,ToneMean,48,0.6927819113522916,0.6757202887069571,0.5640722115414523,0.5495212689639716,2.4627696488250796,0.11346893951729686,0.023348868126720934,False
rolling,2,Ridge,ToneMean,48,0.6983612096065758,0.6806562106392313,0.567811078431438,0.552598414727068,2.5352208461461694,0.1099783181877898,0.02441550200140208,False
rolling,2,SVR,NEG,48,0.6720358134411902,0.7086641157227264,0.45804802995590616,0.48860256174812067,-5.450349750555588,0.9472183734426557,-0.05057269436551143,False
rolling,3,ElasticNet,ToneMean,48,0.707722142484737,0.6941284241225685,0.5824996167454745,0.569680083341132,1.9207705321247117,0.11691265649439864,0.01905636178830611,False
rolling,3,Lasso,ToneMean,48,0.7161983295159486,0.7043093849418715,0.5881214211737592,0.5772060909399689,1.6600073030207254,0.13518035718784627,0.01688833748423807,False
rolling,3,OLS,ToneMean,48,0.6955083049717466,0.6803135214773928,0.5735400864565703,0.559175585850726,2.184701949025775,0.10398569070098218,0.0209053147797012,False
rolling,3,Ridge,ToneMean,48,0.7020869821685066,0.6860285295257827,0.5779592650419922,0.5627508863702874,2.2872454625386736,0.09826501915805008,0.022290987207173263,False
rolling,3,SVR,NEG,48,0.67561467336991,0.7077258837541979,0.4640330140297882,0.4906380694466093,-4.75288824384465,0.9096900894784115,-0.04442073966293014,False
rolling,4,ElasticNet,ToneMean,47,0.7006976838821517,0.6827674966108662,0.5759269939844239,0.5578681101504754,2.55890488633342,0.03862908306110302,0.024805789769542674,True
rolling,4,Lasso,ToneMean,47,0.7103239720819382,0.6930452703344239,0.5828080641098471,0.5656114291109028,2.43251001326493,0.03863640535431412,0.02424839858134753,True
rolling,4,OLS,ToneMean,47,0.68727539213839,0.6689412645565649,0.5658847615598029,0.5472684014826005,2.66765372244454,0.03934219078466383,0.02486504921244148,True
rolling,4,Ridge,ToneMean,47,0.6951871631686506,0.6759143188894935,0.5713998246941754,0.5518526277910171,2.772324533628012,0.03686259558323246,0.026425025354628207,True
rolling,4,SVR,ToneMean,47,0.645846879554631,0.6772063911165747,0.4443657234398891,0.470018837393657,-4.855564461899822,0.7513590490042374,-0.041490304338681006,False
rolling,5,ElasticNet,ToneMean,46,0.6934066616739674,0.6725683829615796,0.5699639115487605,0.5479372414629307,3.0052031317497914,0.008653836962258299,0.028464568694281878,True
rolling,5,Lasso,ToneMean,46,0.7057639913776265,0.6863170407436798,0.5792128897515011,0.5578492884563397,2.7554467033642327,0.01046944209910905,0.027071731110116404,True
rolling,5,OLS,ToneMean,46,0.6758313653131245,0.6544102439351933,0.5551912168244459,0.532971008117942,3.169595623607435,0.008035964994091538,0.028495266973682654,True
rolling,5,Ridge,ToneMean,46,0.6858186257102784,0.663479687710156,0.5627982196606552,0.5405826234714751,3.2572661579417987,0.007733218035241518,0.030141891367168938,True
rolling,5,SVR,ToneMean,46,0.6228894480937619,0.6595660886874201,0.4503464105325815,0.47897244662918903,-5.888146075664028,0.8034216987942919,-0.04703616079987033,False
rolling,6,ElasticNet,ToneMean,45,0.6764824484159117,0.6525472449827755,0.5671157075513876,0.537829641376187,3.5381854310018146,0.001605899536186839,0.03181059608017611,True
rolling,6,Lasso,ToneMean,45,0.6920884744856215,0.6684249702466475,0.5776437814011308,0.5481718803697797,3.4191443885207526,0.0016260894906580114,0.03219451566660314,True
rolling,6,OLS,ToneMean,45,0.6546648374197946,0.6308710676940855,0.5509076817598534,0.521889775155086,3.634496366031601,0.0014767185644750658,0.03058774530041064,True
rolling,6,Ridge,ToneMean,45,0.6664589303618613,0.6417052987331467,0.5606666291819704,0.5308197582217307,3.7142021062384623,0.001448378383768767,0.03238181543687929,True
rolling,6,SVR,NEG,45,0.6084955961667695,0.6460348708350172,0.445922545307348,0.4795566483299233,-6.169194141211066,0.8924344433387688,-0.047094163780465104,False
