window_scheme,horizon_h,model,tone_spec,n_common,MSFE_none,MSFE_tone,MSFE_gain,CW_stat,CW_p_one_sided,DM_stat,DM_p_two_sided
expanding,2,ElasticNet,ToneMean,48,0.9487011032060861,0.9960792720053431,-0.04737816879925694,-2.2832617791618466,0.9887925235164275,-2.4418923642945316,0.014610501998224779
expanding,2,Lasso,NEG,48,0.9501613888714106,0.9552353165129235,-0.005073927641512932,-0.9370555417768481,0.8256350057032205,-0.979024359382747,0.32756794361281827
expanding,2,Lasso,POSNEG,48,0.9501613888714106,1.1661146830987748,-0.2159532942273642,-2.5073832170420705,0.9939185617002936,-2.9770802809452706,0.0029100779747992522
expanding,2,Lasso,ToneMean,48,0.9501613888714106,0.9948311215334575,-0.04466973266204699,-2.250270842234635,0.9877841211642986,-2.408045722059869,0.01603817229260729
expanding,2,OLS,NEG,48,0.9545619469317946,0.9605406986484649,-0.005978751716670283,-0.6931462620761403,0.7558911160418332,-0.7608179443029993,0.44676581490110534
expanding,2,OLS,POSNEG,48,0.9545619469317946,1.1796644129229974,-0.22510246599120276,-2.41462415160822,0.9921242730559665,-2.886922249029435,0.003890303524313854
expanding,2,OLS,ToneMean,48,0.9545619469317946,1.000553302850195,-0.04599135591840031,-2.224187738288185,0.9869320921574098,-2.383795428461034,0.017135124725978557
expanding,2,Ridge,NEG,48,0.9508052895394243,0.95662067623357,-0.005815386694145719,-0.6994076616521034,0.7578513494578203,-0.7651981183949221,0.4441535799552643
expanding,2,Ridge,POSNEG,48,0.9508052895394243,1.1784032615470965,-0.22759797200767218,-2.4640110790684893,0.9931304067732989,-2.9320798274008597,0.0033670018877569596
expanding,2,Ridge,ToneMean,48,0.9508052895394243,0.9985884474379892,-0.04778315789856491,-2.261184378979412,0.9881260789958686,-2.422613864299958,0.015409295869333706
expanding,2,SVR,NEG,48,0.35767044916632,0.4540472610688018,-0.09637681190248176,-1.1565850118475598,0.8762790256389558,-2.1454153057733385,0.03191965641993977
