window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none
expanding,2,ElasticNet,POSNEG,48,0.9740128865708534,1.082456689975042,0.879238685623418,0.9727380013493977,-11.133713413790659
expanding,2,ElasticNet,ToneMean,48,0.9740128865708534,0.9980377107130487,0.879238685623418,0.900935064486957,-2.4665817540441397
expanding,2,Lasso,NEG,48,0.9747622217091769,0.9773614052708054,0.8813625680635728,0.8851207961424677,-0.26664795821395143
expanding,2,Lasso,None,48,0.9747622217091769,0.9747622217091769,0.8813625680635728,0.8813625680635728,
expanding,2,Lasso,POSNEG,48,0.9747622217091769,1.0798679007632253,0.8813625680635728,0.9724391626904473,-10.78269927918964
expanding,2,Lasso,ToneMean,48,0.9747622217091769,0.9974122124445126,0.8813625680635728,0.9020064645726699,-2.3236426516017956
expanding,2,OLS,NEG,48,0.9770168611297323,0.9800717823957922,0.8770121982201989,0.8816557311419491,-0.31267845905212477
expanding,2,OLS,None,48,0.9770168611297323,0.9770168611297323,0.8770121982201989,0.8770121982201989,
expanding,2,OLS,POSNEG,48,0.9770168611297323,1.086123571663463,0.8770121982201989,0.9723939313597153,-11.167331381320249
expanding,2,OLS,ToneMean,48,0.9770168611297323,1.0002766131676752,0.8770121982201989,0.898533050548764,-2.380690954611317
expanding,2,Ridge,NEG,48,0.9750924517908157,0.9780698728790137,0.8770738117109967,0.8816181001642175,-0.30534756809262265
expanding,2,Ridge,None,48,0.9750924517908157,0.9750924517908157,0.8770738117109967,0.8770738117109967,
expanding,2,Ridge,POSNEG,48,0.9750924517908157,1.0855428418754816,0.8770738117109967,0.972699737108468,-11.327171067914337
expanding,2,Ridge,ToneMean,48,0.9750924517908157,0.9992939744829793,0.8770738117109967,0.8991595867757606,-2.4819721091796
expanding,2,SVR,NEG,48,0.5980555569228665,0.6738302909997456,0.4574031959550488,0.5324428866536856,-12.670183095824328
expanding,2,SVR,None,48,0.5980555569228665,0.5980555569228665,0.4574031959550488,0.4574031959550488,
expanding,2,SVR,POSNEG,48,0.5980555569228665,0.7241155939692955,0.4574031959550488,0.5589675479006874,-21.078315482099505
expanding,2,SVR,ToneMean,48,0.5980555569228665,0.6581888567944334,0.4574031959550488,0.5027480341389543,-10.054801627622451
expanding,3,ElasticNet,NEG,48,0.916373760835955,0.9176364996975663,0.8073985800125856,0.8089083197417178,-0.13779736124912606
expanding,3,ElasticNet,None,48,0.916373760835955,0.916373760835955,0.8073985800125856,0.8073985800125856,
expanding,3,ElasticNet,POSNEG,48,0.916373760835955,1.0232961182096594,0.8073985800125856,0.8996869994052189,-11.667985481837155
expanding,3,ElasticNet,ToneMean,48,0.916373760835955,0.9430704243433371,0.8073985800125856,0.8322310573337091,-2.913294187191508
expanding,3,Lasso,NEG,48,0.9160581942405375,0.9167656999299123,0.8083910079541935,0.8091957687470122,-0.07723370565571909
expanding,3,Lasso,None,48,0.9160581942405375,0.9160581942405375,0.8083910079541935,0.8083910079541935,
expanding,3,Lasso,POSNEG,48,0.9160581942405375,1.0199781351669421,0.8083910079541935,0.8986515573045603,-11.344251007171003
expanding,3,Lasso,ToneMean,48,0.9160581942405375,0.9414095220675276,0.8083910079541935,0.832009525277079,-2.767436390655046
expanding,3,OLS,NEG,48,0.9186719504207222,0.920717457654979,0.8055469879579439,0.808174915143245,-0.22265915850810575
expanding,3,OLS,None,48,0.9186719504207222,0.9186719504207222,0.8055469879579439,0.8055469879579439,
expanding,3,OLS,POSNEG,48,0.9186719504207222,1.0263236633902078,0.8055469879579439,0.8992890654210068,-11.718188731046428
expanding,3,OLS,ToneMean,48,0.9186719504207222,0.9451435576498977,0.8055469879579439,0.8305272377509888,-2.8815081615425684
expanding,3,Ridge,NEG,48,0.9173932265829192,0.9193984701054745,0.8058372051038414,0.8083985935952672,-0.21858058948443973
expanding,3,Ridge,None,48,0.9173932265829192,0.9173932265829192,0.8058372051038414,0.8058372051038414,
expanding,3,Ridge,POSNEG,48,0.9173932265829192,1.026314052994374,0.8058372051038414,0.8998520711921287,-11.872861413764738
expanding,3,Ridge,ToneMean,48,0.9173932265829192,0.9447968779461526,0.8058372051038414,0.8313708115000941,-2.9871216147197615
expanding,3,SVR,NEG,48,0.5849162494099825,0.6745913176619966,0.43907196595291315,0.5301709603021362,-15.331266372317618
expanding,3,SVR,None,48,0.5849162494099825,0.5849162494099825,0.43907196595291315,0.43907196595291315,
expanding,3,SVR,POSNEG,48,0.5849162494099825,0.7220850308647754,0.43907196595291315,0.5407206091932704,-23.45101227622893
expanding,3,SVR,ToneMean,48,0.5849162494099825,0.6598703134293672,0.43907196595291315,0.4875135635993484,-12.81449508284176
expanding,4,ElasticNet,NEG,47,0.8742891628650902,0.8749790708163446,0.7474452832200555,0.7484810992426012,-0.07891072891645942
expanding,4,ElasticNet,None,47,0.8742891628650902,0.8742891628650902,0.7474452832200555,0.7474452832200555,
expanding,4,ElasticNet,POSNEG,47,0.8742891628650902,0.9889577954803602,0.7474452832200555,0.8509806189501803,-13.11564153894978
expanding,4,ElasticNet,ToneMean,47,0.8742891628650902,0.9086933174866281,0.7474452832200555,0.7834607581336377,-3.935100202865803
expanding,4,Lasso,NEG,47,0.8740494969736479,0.8748713122103008,0.7488617628321654,0.7498739069010193,-0.09402387845292706
expanding,4,Lasso,None,47,0.8740494969736479,0.8740494969736479,0.7488617628321654,0.7488617628321654,
expanding,4,Lasso,POSNEG,47,0.8740494969736479,0.9857442078220231,0.7488617628321654,0.850511126816462,-12.778991491341454
expanding,4,Lasso,ToneMean,47,0.8740494969736479,0.9067028150235579,0.7488617628321654,0.783516550300173,-3.7358660079286663
expanding,4,OLS,NEG,47,0.8771652593245618,0.8778068949810233,0.746829045117148,0.747619838307289,-0.07314877665761009
expanding,4,OLS,None,47,0.8771652593245618,0.8771652593245618,0.746829045117148,0.746829045117148,
expanding,4,OLS,POSNEG,47,0.8771652593245618,0.9921833346185782,0.746829045117148,0.8496854791621666,-13.112474995029224
expanding,4,OLS,ToneMean,47,0.8771652593245618,0.9111125651060353,0.746829045117148,0.7816828499671039,-3.8701151716398083
expanding,4,Ridge,NEG,47,0.8757623188098319,0.8763943212854306,0.7462189142977333,0.7471806085143855,-0.07216598179944399
expanding,4,Ridge,None,47,0.8757623188098319,0.8757623188098319,0.7462189142977333,0.7462189142977333,
expanding,4,Ridge,POSNEG,47,0.8757623188098319,0.9921272424023839,0.7462189142977333,0.850361110326416,-13.287272253354413
expanding,4,Ridge,ToneMean,47,0.8757623188098319,0.9107259377984013,0.7462189142977333,0.7826143138115563,-3.9923639368367905
expanding,4,SVR,NEG,47,0.571578922467833,0.6449610507369097,0.4467444512999295,0.49500049411641556,-12.838494455366552
expanding,4,SVR,None,47,0.571578922467833,0.571578922467833,0.4467444512999295,0.4467444512999295,
expanding,4,SVR,POSNEG,47,0.571578922467833,0.6874584504483399,0.4467444512999295,0.4944437001147563,-20.27358312657658
expanding,4,SVR,ToneMean,47,0.571578922467833,0.6385842460663022,0.4467444512999295,0.4607897956440468,-11.722847180782807
expanding,5,ElasticNet,NEG,46,0.8236221745927556,0.8241424731394207,0.6837346698458827,0.6845421697312,-0.06317199350811513
expanding,5,ElasticNet,None,46,0.8236221745927556,0.8236221745927556,0.6837346698458827,0.6837346698458827,
expanding,5,ElasticNet,POSNEG,46,0.8236221745927556,0.953868982023997,0.6837346698458827,0.7932743627518538,-15.813902472410074
